URL,U ID,Public,Derived View,Parent UID,Domain,Type,Name,Visits,Creation Date,Last Update Date (data),Category,Keywords,Downloads,Owner,Contact Email,License,Publication Stage,Published Version Name,Published Version UID,Data Provided By,Source Link,Department,Dataset Page,routing_approval,api_endpoint,Frequency,capabilities,test,definitionExpression,maxScale,htmlPopupType,copyrightText,geometryType,hasAttachments,Publishing Department,defaultVisibility,id,Spatial Reference wkid,Source,displayField,minScale,currentVersion,Agency,Category Tile,Tags,Microsite,owner_uid,View Moderation Status,provenance
https://data.austintexas.gov/d/iyf6-bziq,iyf6-bziq,true,false,,data.austintexas.gov,gis map,Off- Leash Areas,65856,05/30/2013 02:58:00 PM +0000,08/28/2016 10:06:00 PM +0000,Fun,"dog,dogs,pet,off-leash,areas,area",383,AustinGo,parks@austintexas.gov,Public Domain,published,,,Austin Parks and Recreation Department,http://www.austintexas.gov/department/leash-areas,Parks & Recreaction,,,https://data.austintexas.gov/resource/iyf6-bziq.json,As Needed,,,,,,,,,,,,,,,,,,,,,czye-wfgc,Not in Queue,official
https://data.austintexas.gov/d/b4y9-5x39,b4y9-5x39,true,false,,data.austintexas.gov,dataset,APD Incident Extract YTD,33021,12/16/2011 03:53:00 PM +0000,08/19/2016 01:43:00 PM +0000,Public Safety,,8403,opendataatx,,,published,,,City of Austin,,Austin Police ,,,https://data.austintexas.gov/resource/b4y9-5x39.json,Daily,,,,,,,,,,,,,,,,,,,,,99uc-9byy,Not in Queue,official
https://data.austintexas.gov/d/ecmv-9xxi,ecmv-9xxi,true,false,,data.austintexas.gov,dataset,Restaurant Inspection Scores,26381,12/13/2011 06:47:00 PM +0000,02/15/2017 05:06:00 PM +0000,,"restaurant,geodata,health,fdhealth",7362,opendataatx,,,published,,,City of Austin,,Austin Public Health,,,https://data.austintexas.gov/resource/ecmv-9xxi.json,Weekly,,,,,,,,,,,,,,,,,,,,,99uc-9byy,Not in Queue,official
https://data.austintexas.gov/d/h3i4-5e5v,h3i4-5e5v,true,false,,data.austintexas.gov,dataset,Unclaimed Property,18081,05/21/2012 05:48:00 PM +0000,10/28/2016 03:46:00 PM +0000,Financial,"unclaimed,property,unclaimed property",8954,opendataatx,,,published,,,City of Austin,http://www.austintexas.gov,Financial Services,,,https://data.austintexas.gov/resource/h3i4-5e5v.json,As Needed,,,,,,,,,,,,,,,,,,,,,99uc-9byy,Not in Queue,official
https://data.austintexas.gov/d/5tye-7ray,5tye-7ray,true,false,,data.austintexas.gov,dataset,Water Quality Sampling Data,10712,01/03/2012 02:55:00 PM +0000,02/14/2017 02:15:00 AM +0000,Environmental,"water quality,eii,ali,barton springs,lady bird lake,lake austin,salamanders,barton creek,bull creek,bacteria,coli",2973,Rob,robert.clayton@austintexas.gov,,published,,,City of Austin Watershed Protection Environmental Resource Management,,Watershed Protection,,,https://data.austintexas.gov/resource/5tye-7ray.json,Quarterly,,,,,,,,,,,,,,,,,,,,,buxt-jupg,Not in Queue,official
https://data.austintexas.gov/d/u3yy-shmz,u3yy-shmz,true,false,,data.austintexas.gov,dataset,Austintexas.gov - Community Registry - Updated once a Month,15810,05/09/2013 09:21:00 PM +0000,02/06/2017 06:16:00 PM +0000,,"community registry,neighborhood registry,community,neighborhood",1674,AustinGo,pio.neighborhood@austintexas.gov,,published,,,"City of Austin, Texas",http://www.austintexas.gov/cr,Public Information Office,,,https://data.austintexas.gov/resource/u3yy-shmz.json,Monthly,,,,,,,,,,,,,,,,,,,,,czye-wfgc,Not in Queue,official
https://data.austintexas.gov/d/trxj-f8br,trxj-f8br,false,false,,data.austintexas.gov,dataset,911 ADDRESSING - ADDRESS CHANGES,10205,08/15/2012 08:16:00 PM +0000,06/02/2016 03:31:00 AM +0000,,"addressing,address,911,change,street",670,Sara,,,published,,,,,Communication and Technology Management,,,https://data.austintexas.gov/resource/trxj-f8br.json,Monthly,,,,,,,,,,,,,,,,,,,,,gbgk-fqw2,Not in Queue,official
https://data.austintexas.gov/d/69pm-tzkv,69pm-tzkv,true,false,,data.austintexas.gov,gis map,Single Member Council Districts,11989,04/07/2014 02:40:00 PM +0000,08/24/2016 04:42:00 AM +0000,Government,"single member districts,council districts,10-1,10-one",813,Aubrey Drescher,,Public Domain,published,,,Office of the City Clerk,,Communication and Technology Management,,,https://data.austintexas.gov/resource/69pm-tzkv.json,As Needed,,,,,,,,,,,,,,,,,,,,,gz88-dpub,Not in Queue,official
https://data.austintexas.gov/d/i26j-ai4z,i26j-ai4z,true,false,,data.austintexas.gov,dataset,311 Unified Data,8591,12/30/2013 07:11:00 PM +0000,01/11/2017 05:20:00 PM +0000,Government,"311,3-1-1,csr,sr,service request,service requests,austin311,austin 311",6556,Austin 311,,,published,,,,,Austin Energy,,,https://data.austintexas.gov/resource/i26j-ai4z.json,Daily,,,,,,,,,,,,,,,,,,,,,xy86-z82g,Not in Queue,official
https://data.austintexas.gov/d/8jyt-x94k,8jyt-x94k,true,false,,data.austintexas.gov,dataset,"Municipal Court Caseload Information **Dataset removal in 2 months on September 1, 2014",7788,02/28/2012 10:02:00 PM +0000,07/23/2014 10:00:00 PM +0000,Public Safety,"municipal,court,violation",1769,Luz Lozano,,,published,,,City of Austin,http://www.austintexas.gov,Municipal Court,,,https://data.austintexas.gov/resource/8jyt-x94k.json,Monthly,,,,,,,,,,,,,,,,,,,,,9sae-3e9j,Not in Queue,official
https://data.austintexas.gov/d/8c6z-qnmj,8c6z-qnmj,true,false,,data.austintexas.gov,dataset,Austin Finance Online eCheckbook,6359,12/13/2011 09:37:00 PM +0000,02/20/2017 01:04:00 PM +0000,Financial,"financial,echeckbook,checkbook,transparency,expenses,expenditures,finance,payment,checks,payments,city of austin",1030,Chris,Mark.Caraway@austintexas.gov,Open Data Commons Open Database License,published,,,City of Austin,https://www.austintexas.gov/financeonline/checkbook/index.cfm,Financial Services,,,https://data.austintexas.gov/resource/8c6z-qnmj.json,Weekly,,,,,,,,,,,,,,,,,,,,,t5rb-t58r,Not in Queue,official
https://data.austintexas.gov/d/e8fp-i3ts,e8fp-i3ts,true,false,,data.austintexas.gov,dataset,CIVIC Projects List,8073,10/17/2013 03:25:00 PM +0000,02/18/2017 09:30:00 AM +0000,Capital Planning,"civic,projects,go,general obligation,capital,improvement,visualization,information,communication,planning",933,Ashley Parsons,,,published,,,City of Austin,http://www.austintexas.gov,Public Works,,,https://data.austintexas.gov/resource/e8fp-i3ts.json,Daily,,,,,,,,,,,,,,,,,,,,,k6xj-wrjq,Not in Queue,official
https://data.austintexas.gov/d/3ebq-e9iz,3ebq-e9iz,true,false,,data.austintexas.gov,dataset,Purchase Order Quantity Price detail for Commodity/Goods procurements,6508,06/06/2013 09:38:00 PM +0000,02/20/2017 01:00:00 PM +0000,Financial,"purchasing,commodities,financial,goods,commodity,price,procurement,transparency,austin finance online,buying,procure,city of austin,texas,central texas,financial services,open data,austin",1704,Chris,,,published,,,City of Austin Financial Services,https://www.austintexas.gov/financeonline/finance/financial_docs.cfm?ws=1&pg=2,Financial Services,,,https://data.austintexas.gov/resource/3ebq-e9iz.json,Monthly,,,,,,,,,,,,,,,,,,,,,t5rb-t58r,Not in Queue,official
https://data.austintexas.gov/d/x442-h34c,x442-h34c,true,false,,data.austintexas.gov,dataset,Construction Plans in SMBR's Plan Room,5589,02/08/2012 08:34:00 PM +0000,01/11/2017 10:05:00 PM +0000,Business,,875,Blender,,,published,,,SMBR,,Small & Minority Business Rsrc,,,https://data.austintexas.gov/resource/x442-h34c.json,Weekly,,,,,,,,,,,,,,,,,,,,,9vt6-985e,Not in Queue,official
https://data.austintexas.gov/d/tv4x-8thz,tv4x-8thz,true,false,,data.austintexas.gov,dataset,Economic Development Compliance: Texas Enterprise Zone Nominations,5688,02/10/2014 10:29:00 PM +0000,02/16/2017 09:27:00 PM +0000,,,314,Melissa Alvarado,,,published,,,,,Economic Development,,,https://data.austintexas.gov/resource/tv4x-8thz.json,As Needed,,,,,,,,,,,,,,,,,,,,,kzrv-d9p3,Not in Queue,official
https://data.austintexas.gov/d/7neq-k7nf,7neq-k7nf,true,false,,data.austintexas.gov,dataset,Economic Development Compliance: Family Business Loans,5468,02/10/2014 10:39:00 PM +0000,09/22/2016 02:02:00 PM +0000,,,305,Melissa Alvarado,,,published,,,,,Economic Development,,,https://data.austintexas.gov/resource/7neq-k7nf.json,As Needed,,,,,,,,,,,,,,,,,,,,,kzrv-d9p3,Not in Queue,official
https://data.austintexas.gov/d/8dnv-8czf,8dnv-8czf,true,false,,data.austintexas.gov,gis map,City of Austin Jurisdictional Boundaries,8760,03/05/2015 09:21:00 PM +0000,02/03/2017 07:55:00 PM +0000,Government,"jurisdictions,etj,city,limits",1140,Bruce Bacia,,Public Domain,published,,,Communications and Technology Management,,,,,https://data.austintexas.gov/resource/8dnv-8czf.json,,,,,,,,,,,,,,,,,,,,,,hsxc-89wg,Not in Queue,official
https://data.austintexas.gov/d/yt8a-k7ps,yt8a-k7ps,true,false,,data.austintexas.gov,story,Community Services,9430,05/11/2016 08:42:00 PM +0000,05/11/2016 08:42:00 PM +0000,,,0,jesse.rodriguez,,,published,,,,,,,,https://data.austintexas.gov/resource/yt8a-k7ps.json,,,,,,,,,,,,,,,,,,,,,,xyvj-5d85,Not in Queue,official
https://data.austintexas.gov/d/hek3-kuva,hek3-kuva,true,false,,data.austintexas.gov,dataset,Percent of Short-term Rentals Issued by Census Tract,3980,04/05/2013 03:48:00 PM +0000,10/31/2013 07:01:00 PM +0000,Permitting,"short-term rental,census tract,rental,license",420,AustinGo,,Public Domain,published,,,City of Austin,http://www.austintexas.gov/str,Code Compliance,,,https://data.austintexas.gov/resource/hek3-kuva.json,As Needed,,,,,,,,,,,,,,,,,,,,,czye-wfgc,Not in Queue,official
https://data.austintexas.gov/d/wrwk-skv6,wrwk-skv6,false,false,,data.austintexas.gov,dataset,2011 Animal Intake Report (Cats and Dogs Exclusively),4185,02/17/2012 04:06:00 PM +0000,02/17/2012 04:07:00 PM +0000,,"animal,animal services",949,Austin Animal Center,,,published,,,Animal Services,,Animal Services,,,https://data.austintexas.gov/resource/wrwk-skv6.json,,,,,,,,,,,,,,,,,,,,,,p3dk-w2wy,Not in Queue,official
https://data.austintexas.gov/d/hqbc-knkg,hqbc-knkg,true,false,,data.austintexas.gov,href,About Open Data,3498,06/11/2013 05:38:00 PM +0000,09/22/2015 04:41:00 PM +0000,,,837,AustinGo,,Public Domain,published,,,"City of Austin, Texas",http://www.austintexas.gov/opendata,Public Information Office,,,https://data.austintexas.gov/resource/hqbc-knkg.json,As Needed,,,,,,,,,,,,,,,,,,,,,czye-wfgc,Not in Queue,official
https://data.austintexas.gov/d/4hh5-fx4w,4hh5-fx4w,true,false,,data.austintexas.gov,dataset,Austin Recycles Games District Numbers,3332,02/11/2016 02:13:00 PM +0000,05/17/2016 07:37:00 PM +0000,Government,"austin recycles games,pounds of recyclables,district",256,julmisse,,Public Domain,published,,,City of Austin's - Austin Resource Recovery,http://www.austintexas.gov/games,Austin Resource Recovery,,,https://data.austintexas.gov/resource/4hh5-fx4w.json,Monthly,,,,,,,,,,,,,,,,,,,,,wna5-wuwp,Not in Queue,official
https://data.austintexas.gov/d/4c6h-tv2y,4c6h-tv2y,true,false,,data.austintexas.gov,dataset,APD Incident Extract 2010,2772,12/16/2011 04:33:00 PM +0000,08/19/2016 01:59:00 PM +0000,Public Safety,,2084,opendataatx,,,published,,,City of Austin,,Austin Police ,,,https://data.austintexas.gov/resource/4c6h-tv2y.json,Daily,,,,,,,,,,,,,,,,,,,,,99uc-9byy,Not in Queue,official
https://data.austintexas.gov/d/kz4x-q9k5,kz4x-q9k5,true,false,,data.austintexas.gov,dataset,Austin Animal Center Stray Map,2943,06/24/2014 08:53:00 PM +0000,02/20/2017 08:02:00 PM +0000,Government,"cat,dog,pet,stray,austin animal center,no kill,data,open government",1500,Austin Animal Center,,Public Domain,published,,,Austin Animal Center,http://austinanimalcenter.org,Animal Services,,,https://data.austintexas.gov/resource/kz4x-q9k5.json,As Needed,,,,,,,,,,,,,,,,,,,,,p3dk-w2wy,Not in Queue,official
https://data.austintexas.gov/d/qwjz-np8k,qwjz-np8k,true,false,,data.austintexas.gov,dataset,Creative Content Incentive Program Agreements,4041,12/10/2014 03:38:00 PM +0000,04/11/2016 07:02:00 PM +0000,,,295,Melissa Alvarado,kyle.brandon@austintexas.gov,,published,,,,,Economic Development,,,https://data.austintexas.gov/resource/qwjz-np8k.json,As Needed,,,,,,,,,,,,,,,,,,,,,kzrv-d9p3,Not in Queue,official
https://data.austintexas.gov/d/kumu-nbtd,kumu-nbtd,true,false,,data.austintexas.gov,dataset,911 Addressing - Street Name Master List,4120,03/13/2015 03:52:00 PM +0000,01/05/2017 08:01:00 AM +0000,Public Safety,"street name,address,active,reserved,reservation",630,jjmoczygemba,Addressing@austintexas.gov,,published,,,CTM - 911 Addressing,,Communication and Technology Management,,,https://data.austintexas.gov/resource/kumu-nbtd.json,Daily,,,,,,,,,,,,,,,,,,,,,rt4g-ttsy,Not in Queue,official
https://data.austintexas.gov/d/bqav-9x6a,bqav-9x6a,true,false,,data.austintexas.gov,dataset,Lobbyists,2948,12/13/2011 02:55:00 PM +0000,02/21/2017 01:52:00 PM +0000,,lobbyist,1147,opendataatx,,,published,,,City of Austin,,,,,https://data.austintexas.gov/resource/bqav-9x6a.json,,,,,,,,,,,,,,,,,,,,,,99uc-9byy,Not in Queue,official
