"Keywords","Domain","Last Update Date (data)","Downloads","U ID","Description","Creation Date","Visits","Name","ContactEmail","Owner","Category","Type","Frequency","Department","Derived View"
"searchs,top 10,austintexas.gov,website","data.austintexas.gov","09/06/2016 07:30:50 PM +0000","312","q37s-pqpu","This represents the top 10 searches that visitors have conducted on www.austintexas.gov. The Number of Queries is calculated by Unique Pageviews per month. The data represents a one month period. LAST UPDATE MAY 1, 2013.","05/01/2013 04:20:33 PM +0000","106515","Top-10-Searches-Chart","","AustinGo","Government","chart","Monthly","Other","true"
"dog,dogs,pet,off-leash,areas,area","data.austintexas.gov","","307","iyf6-bziq","This is a map of off-leash areas for dogs.","05/30/2013 02:58:20 PM +0000","59645","Off- Leash Areas","","AustinGo","Fun","map","As Needed","Parks & Recreaction","false"
"cat,dog,pet,stray,austin animal center,no kill,data,open government,map","data.austintexas.gov","10/01/2016 09:02:09 PM +0000","350","hye6-gvq2","This map shows all stray cats and dogs that are currently listed in AAC's database for no longer than a week. Most will be located at AAC, but some will be held by citizens, which will be indicated on the ""At AAC"" column. AAC will post an image as soon as possible, which can be accessed by clicking the link in the ""Image Link"" column. Please also check http://www.austintexas.gov/department/lost-found-pet for more information or contact customer service at 512.978.0500 or animal.customerservice@austintexas.gov.","06/24/2014 08:59:11 PM +0000","53783","Austin Animal Center Found Pets Map","","Austin Animal Center","Government","map","As Needed","Animal Services","true"
"dangerous,dogs,public safety,pets,animals","data.austintexas.gov","05/05/2016 07:30:20 PM +0000","656","ri75-pahg","No declared Dangerous Dog in the City of Austin and Travis County should ever be running at large. They are court ordered to be restrained at all times and should be wearing a large tag identifying them as a Dangerous Dog. They have attacked in the past. The owner is required to provide $100,000 in financial responsibility. If they attack again the court could order them put to sleep. *Last updated January 2015*","08/30/2012 06:39:04 PM +0000","42311","Map of Declared Dangerous Dogs","","Austin Animal Center","Public Safety","map","As Needed","Animal Services","true"
"","data.austintexas.gov","08/19/2016 01:43:19 PM +0000","7456","b4y9-5x39","Please read and understand the following information.; ; Understanding the following conditions will allow you to get the most out of the data provided; ???	Due to the methodological differences in data collection, different data sources may produce different results.; ???	Our on-line database is continuously being updated. The data provided here represents a particular point in time.; Searches may be accomplished using several geographic boundaries: Police area commands or districts, zip codes and census tracts. Additionally, a known case number may be entered. Updates to the police report database occur daily. Information is available from today???s date back 18 months.; Due to several factors (once-a-day updates, offense reclassification, reported versus occurred dates, etc.) comparisons should not be made between numbers generated with this database to any other official police reports. Data provided represents only calls for police service where a report was written; Totals in the database may vary considerably from official totals following investigation and final categorization. Therefore, the data should not be used for comparisons with Uniform Crime Report statistics; The Austin Police Department does not assume any liability for any decision made or action taken or not taken by the recipient in reliance upon any information or data provided.","12/16/2011 03:53:22 PM +0000","31378","APD Incident Extract YTD","","opendataatx","Public Safety","table","Daily","Austin Police ","false"
"restaurant,geodata,health,fdhealth","data.austintexas.gov","09/28/2016 02:26:49 PM +0000","6118","ecmv-9xxi","Provides restaurant scores for inspections performed within the last three years. Online search of this data set also available at: http://www.ci.austin.tx.us/health/restaurant/search.cfm","12/13/2011 06:47:37 PM +0000","23903","Restaurant Inspection Scores","","opendataatx","","table","Weekly","Health and Human Services","false"
"fire,afd,stations,fire stations","data.austintexas.gov","03/20/2012 03:37:48 PM +0000","546","szku-46rx","Location information for Austin Fire stations","04/05/2012 03:57:18 PM +0000","17442","Austin Fire Station Map","","opendataatx","Public Safety","map","As Needed","","true"
"unclaimed,property,unclaimed property","data.austintexas.gov","10/21/2015 08:47:08 PM +0000","6277","h3i4-5e5v","Visit: https://www.ci.austin.tx.us/financeonline/finance/financial_docs.cfm?ws=3&pg=1 for information if you find your name on the list. Every year, various departments of the City of Austin report unclaimed cash and valuables, from uncashed checks, deposits, refunds, overpayments or any other transactions creating a credit balance valued at $100 or less; Contact: 512-974-7890","05/21/2012 05:48:27 PM +0000","15836","Unclaimed Property","","opendataatx","Financial","table","As Needed","Financial Services","false"
"water quality,eii,ali,barton springs,lady bird lake,lake austin,salamanders,barton creek,bull creek,bacteria,coli","data.austintexas.gov","09/08/2016 07:17:32 PM +0000","1781","5tye-7ray","Data collected to assess water quality conditions in the natural creeks, aquifers and lakes in the Austin area. This is raw data, provided directly from our Field Sample database (FSDB) and should be considered provisional. Data may or may not have been reviewed by project staff.","01/03/2012 02:55:34 PM +0000","9802","Water Quality Sampling Data","","Rob","Environmental","table","Quarterly","Watershed Protection","false"
"google,fiber,gigabit,tara,community,connections","data.austintexas.gov","03/19/2014 05:12:54 PM +0000","185","ysrd-25kv","Community Connections Program: 100 Gigabit Speed (Google Fiber) Public Facilities administered through the City's Office of Telecom & Regulatory Affairs (TARA) and Google Fiber.","03/27/2014 06:05:57 PM +0000","12108","Community Connections Program: 100 Gigabit Speed (Google Fiber) Public Facilities","","John Speirs","Geodata","map","As Needed","Telecom & Regulatory Affairs","true"
