U ID,Derived View,Domain,Type,Name,Description,Creation Date,Last Update Date (data),Category,Keywords,Downloads,Visits,Department,Owner,ContactEmail,Frequency
q37s-pqpu,true,data.austintexas.gov,chart,Top-10-Searches-Chart,"This represents the top 10 searches that visitors have conducted on www.austintexas.gov. The Number of Queries is calculated by Unique Pageviews per month. The data represents a one month period. LAST UPDATE MAY 1, 2013.",05/01/2013 04:20:33 PM +0000,09/06/2016 07:30:50 PM +0000,Government,"searchs,top 10,austintexas.gov,website",312,106515,Other,AustinGo,,Monthly
iyf6-bziq,false,data.austintexas.gov,map,Off- Leash Areas,This is a map of off-leash areas for dogs.,05/30/2013 02:58:20 PM +0000,,Fun,"dog,dogs,pet,off-leash,areas,area",307,59645,Parks & Recreaction,AustinGo,,As Needed
hye6-gvq2,true,data.austintexas.gov,map,Austin Animal Center Found Pets Map,"This map shows all stray cats and dogs that are currently listed in AAC's database for no longer than a week. Most will be located at AAC, but some will be held by citizens, which will be indicated on the ""At AAC"" column. AAC will post an image as soon as possible, which can be accessed by clicking the link in the ""Image Link"" column. Please also check http://www.austintexas.gov/department/lost-found-pet for more information or contact customer service at 512.978.0500 or animal.customerservice@austintexas.gov.",06/24/2014 08:59:11 PM +0000,10/01/2016 09:02:09 PM +0000,Government,"cat,dog,pet,stray,austin animal center,no kill,data,open government,map",350,53783,Animal Services,Austin Animal Center,,As Needed
ri75-pahg,true,data.austintexas.gov,map,Map of Declared Dangerous Dogs,"No declared Dangerous Dog in the City of Austin and Travis County should ever be running at large. They are court ordered to be restrained at all times and should be wearing a large tag identifying them as a Dangerous Dog. They have attacked in the past. The owner is required to provide $100,000 in financial responsibility. If they attack again the court could order them put to sleep. *Last updated January 2015*",08/30/2012 06:39:04 PM +0000,05/05/2016 07:30:20 PM +0000,Public Safety,"dangerous,dogs,public safety,pets,animals",656,42311,Animal Services,Austin Animal Center,,As Needed
b4y9-5x39,false,data.austintexas.gov,table,APD Incident Extract YTD,"Please read and understand the following information. 
 
Understanding the following conditions will allow you to get the most out of the data provided.
???	Due to the methodological differences in data collection, different data sources may produce different results. 
???	Our on-line database is continuously being updated. The data provided here represents a particular point in time. 
Searches may be accomplished using several geographic boundaries: Police area commands or districts, zip codes and census tracts. Additionally, a known case number may be entered. Updates to the police report database occur daily. Information is available from today???s date back 18 months. 
Due to several factors (once-a-day updates, offense reclassification, reported versus occurred dates, etc.) comparisons should not be made between numbers generated with this database to any other official police reports. Data provided represents only calls for police service where a report was written.
Totals in the database may vary considerably from official totals following investigation and final categorization. Therefore, the data should not be used for comparisons with Uniform Crime Report statistics.
The Austin Police Department does not assume any liability for any decision made or action taken or not taken by the recipient in reliance upon any information or data provided.",12/16/2011 03:53:22 PM +0000,08/19/2016 01:43:19 PM +0000,Public Safety,,7456,31378,Austin Police ,opendataatx,,Daily
ecmv-9xxi,false,data.austintexas.gov,table,Restaurant Inspection Scores,Provides restaurant scores for inspections performed within the last three years. Online search of this data set also available at: http://www.ci.austin.tx.us/health/restaurant/search.cfm,12/13/2011 06:47:37 PM +0000,09/28/2016 02:26:49 PM +0000,,"restaurant,geodata,health,fdhealth",6118,23903,Health and Human Services,opendataatx,,Weekly
szku-46rx,true,data.austintexas.gov,map,Austin Fire Station Map,Location information for Austin Fire stations,04/05/2012 03:57:18 PM +0000,03/20/2012 03:37:48 PM +0000,Public Safety,"fire,afd,stations,fire stations",546,17442,,opendataatx,,As Needed
'a'
Contact: 512-974-7890",05/21/2012 05:48:27 PM +0000,10/21/2015 08:47:08 PM +0000,Financial,"unclaimed,property,unclaimed property",6277,15836,Financial Services,opendataatx,,As Needed
5tye-7ray,false,data.austintexas.gov,table,Water Quality Sampling Data,"Data collected to assess water quality conditions in the natural creeks, aquifers and lakes in the Austin area. This is raw data, provided directly from our Field Sample database (FSDB) and should be considered provisional. Data may or may not have been reviewed by project staff.",01/03/2012 02:55:34 PM +0000,09/08/2016 07:17:32 PM +0000,Environmental,"water quality,eii,ali,barton springs,lady bird lake,lake austin,salamanders,barton creek,bull creek,bacteria,coli",1781,9802,Watershed Protection,Rob,,Quarterly
ysrd-25kv,true,data.austintexas.gov,map,Community Connections Program: 100 Gigabit Speed (Google Fiber) Public Facilities,Community Connections Program: 100 Gigabit Speed (Google Fiber) Public Facilities administered through the City's Office of Telecom & Regulatory Affairs (TARA) and Google Fiber.,03/27/2014 06:05:57 PM +0000,03/19/2014 05:12:54 PM +0000,Geodata,"google,fiber,gigabit,tara,community,connections",185,12108,Telecom & Regulatory Affairs,John Speirs,,As Needed
u3yy-shmz,false,data.austintexas.gov,table,Austintexas.gov - Community Registry - Updated once a Month,This is a monthly upload of the Community Registry. Neighborhood groups register with the City of Austin to receive notices of developments within their specified boundaries.,05/09/2013 09:21:54 PM +0000,09/06/2016 07:13:51 PM +0000,,"community registry,neighborhood registry,community,neighborhood",1242,13734,Public Information Office,AustinGo,,Monthly
959k-a8yh,false,data.austintexas.gov,table,Google Analytics for www.austintexas.gov,Google Analytics for austintexas.gov,09/26/2012 05:23:15 PM +0000,05/03/2013 04:24:42 PM +0000,Government,"google analytics,austingo,hits,pageviews,statistics,analytics",361,1585,Communication and Technology Management,Divya Rathanlal,,Monthly
b88s-ffsg,true,data.austintexas.gov,data_lens,Resolutions Summary,A summary of Council Member Laura Morrison's resolutions.,04/16/2015 06:05:12 PM +0000,04/24/2015 10:36:53 PM +0000,,,6,644,,AustinGo,,
'i'
'a'
This map has been published by the Communications and Technology Management Department for the sole purpose of geographic reference. No warranty is made by the City of Austin regarding specific accuracy or completeness.",04/07/2014 02:40:27 PM +0000,,Government,"single member districts,council districts,10-1,10-one",607,10351,Communication and Technology Management,Aubrey Drescher,,As Needed
i26j-ai4z,false,data.austintexas.gov,table,311 Unified Data,"Data collected from CSR production system.  
'e'
For more info: http://austintexas.gov/department/311/socrata",12/30/2013 07:11:01 PM +0000,10/03/2016 02:50:23 AM +0000,Government,"311,3-1-1,csr,sr,service request,service requests,austin311,austin 311",4509,8008,Austin Energy,Austin 311,,Daily
yann-xf22,true,data.austintexas.gov,calendar,AARC Calendar - Monthly View,Data for the Asian American Resource Center web calendar,12/11/2013 09:44:22 PM +0000,09/28/2016 08:56:46 PM +0000,Government,aarc calendar,79,9027,Parks & Recreaction,AustinGo,,Monthly
8jyt-x94k,false,data.austintexas.gov,table,"Municipal Court Caseload Information **Dataset removal in 2 months on September 1, 2014","This data is provided to help with analysis of various violations charged throughout the City of Austin. See Fiscal Year datasets for new the new format. 
**Dataset removal in 2 months on September 1, 2014**",02/28/2012 10:02:38 PM +0000,07/23/2014 10:00:40 PM +0000,Public Safety,"municipal,court,violation",1704,7690,Municipal Court,Luz Lozano,,Monthly
8c6z-qnmj,false,data.austintexas.gov,table,Austin Finance Online eCheckbook,"Flat file data set of the data found in the Austin Finance Online eCheckbook application.  The data contained in this dataset is for informational purposes only and contains expenditure information for the City of Austin. Certain Austin Energy transactions have been excluded as competitive matters under Texas Government Code Section 552.133 and City Council Resolution 20051201-002; therefore, the line amounts may not reflect the total check amount if certain Austin Energy invoices were included on the check.  Please visit the Austin Finance Online website for a searchable front end to this data set.",12/13/2011 09:37:13 PM +0000,09/12/2016 12:07:59 PM +0000,Financial,"financial,echeckbook,checkbook,transparency,expenses,expenditures,finance,payment,checks,payments,city of austin",839,5846,Financial Services,Chris,,Weekly
45jc-cj6k,true,data.austintexas.gov,chart,Residential Solar Incentive Levels and Available Capacity,This data can be used to track the capacity and incentive levels available for Austin Energy's Solar Rebate Program.,08/21/2015 07:59:10 PM +0000,09/30/2016 06:28:57 PM +0000,Utility,"solar,rebate",54,8406,Austin Energy,Shannon Wisner,,As Needed
wstj-t8me,true,data.austintexas.gov,map,311 Public Data Mapped,"Data collected from CSR production system.  
Data begins 01/03/2014 and is refreshed daily at 4:00am.",01/08/2014 02:56:31 PM +0000,10/03/2016 02:50:23 AM +0000,Government,"311,3-1-1,csr,sr,service request,service requests,austin311,austin 311",569,6426,Austin Energy,Austin 311,,Daily
nmvn-mx4x,true,data.austintexas.gov,chart,Small Commercial Solar Incentive Levels and Available Capacity,This data can be used to track the capacity and incentive levels available for Austin Energy's Solar Rebate Program. The current incentive rate for small commercial installations is $0.08/kWh.,08/24/2015 06:45:18 PM +0000,09/30/2016 06:28:57 PM +0000,Utility,"solar,rebate",28,7979,Austin Energy,Shannon Wisner,,As Needed
gndx-5ejd,true,data.austintexas.gov,chart,Medium Commercial Solar Incentive Levels and Available Capacity,This data can be used to track the capacity and incentive levels available for Austin Energy's Solar Rebate Program. The current incentive rate for medium commercial installations is $0.05/kWh.,08/24/2015 07:26:45 PM +0000,09/30/2016 06:28:57 PM +0000,Utility,"solar,rebate",25,7937,Austin Energy,Shannon Wisner,,As Needed
nuxv-ka82,true,data.austintexas.gov,chart,Large Commercial Solar Incentive Levels and Available Capacity,This data can be used to track the capacity and incentive levels available for Austin Energy's Solar Rebate Program. This view displays all current large commercial incentive rate information.,08/24/2015 07:48:55 PM +0000,09/30/2016 06:28:57 PM +0000,Utility,"solar,rebate",25,7936,Austin Energy,Shannon Wisner,,As Needed
