charts-created,charts-created-total,charts-deleted,charts-deleted-total,code,comments-created,comments-created-total,dataset_page_url,downloads,downloads-total,embeds,embeds-total,error,fetched_url,filters-created,filters-created-total,filters-deleted,filters-deleted-total,govstat-metrics-using,govstat-metrics-using-total,govstat-total-computes,govstat-total-computes-total,id,maps-created,maps-created-total,maps-deleted,maps-deleted-total,message,visits,visits-total
,,,,,,3,https://data.austintexas.gov/d/b4y9-5x39,2026,7465,3597,8993,,https://data.austintexas.gov/api/views/b4y9-5x39/metrics.json?start=1451606400000&end=1475539199999,8,22,6452,14921,,,,,b4y9-5x39,,1,414,708,,9758,31409
,14,372,1391,,,2,https://data.austintexas.gov/d/ecmv-9xxi,796,6125,914,2023,,https://data.austintexas.gov/api/views/ecmv-9xxi/metrics.json?start=1451606400000&end=1475539199999,8,50,782,3229,,,,,ecmv-9xxi,2,21,420,1749,,5916,23965
,,,,,1,1,https://data.austintexas.gov/d/h3i4-5e5v,1067,6318,1021,1802,,https://data.austintexas.gov/api/views/h3i4-5e5v/metrics.json?start=1451606400000&end=1475539199999,3,9,,21,,,,,h3i4-5e5v,,,,,,4405,15880
1,16,,119,,5,29,https://data.austintexas.gov/d/5tye-7ray,887,1782,139,348,,https://data.austintexas.gov/api/views/5tye-7ray/metrics.json?start=1451606400000&end=1475539199999,21,97,1,539,,,,,5tye-7ray,5,13,1,78,,2005,9817
,,,,,,,https://data.austintexas.gov/d/u3yy-shmz,611,1248,4501,11698,,https://data.austintexas.gov/api/views/u3yy-shmz/metrics.json?start=1451606400000&end=1475539199999,,8,9,44,,,,,u3yy-shmz,,,,,,5317,13809
,1,,,,,,https://data.austintexas.gov/d/959k-a8yh,228,361,9,112,,https://data.austintexas.gov/api/views/959k-a8yh/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,959k-a8yh,,,,,,486,1585
,2,14,171,,,1,https://data.austintexas.gov/d/i26j-ai4z,1901,4512,38,100,,https://data.austintexas.gov/api/views/i26j-ai4z/metrics.json?start=1451606400000&end=1475539199999,10,37,133,2638,,,,,i26j-ai4z,21,43,182,2804,,1438,8017
,,,,,,1,https://data.austintexas.gov/d/8jyt-x94k,104,1704,10,316,,https://data.austintexas.gov/api/views/8jyt-x94k/metrics.json?start=1451606400000&end=1475539199999,,13,,42,,,,,8jyt-x94k,,,,,,418,7690
1,3,,,,,,https://data.austintexas.gov/d/8c6z-qnmj,260,840,9,52,,https://data.austintexas.gov/api/views/8c6z-qnmj/metrics.json?start=1451606400000&end=1475539199999,,13,,130,,,,,8c6z-qnmj,,,,,,968,5857
,4,1000,3802,,,,https://data.austintexas.gov/d/e8fp-i3ts,355,724,1591,4866,,https://data.austintexas.gov/api/views/e8fp-i3ts/metrics.json?start=1451606400000&end=1475539199999,1,3,540,1630,,,,,e8fp-i3ts,,,,,,2330,6830
,,,,,,,https://data.austintexas.gov/d/3ebq-e9iz,453,1388,55,119,,https://data.austintexas.gov/api/views/3ebq-e9iz/metrics.json?start=1451606400000&end=1475539199999,1,6,,3,,,,,3ebq-e9iz,,,,,,1582,5941
,,,,,,,https://data.austintexas.gov/d/x442-h34c,226,712,17,89,,https://data.austintexas.gov/api/views/x442-h34c/metrics.json?start=1451606400000&end=1475539199999,2,3,18,20,,,,,x442-h34c,,,,,,659,5280
,,,,,,,https://data.austintexas.gov/d/tv4x-8thz,146,202,1345,4541,,https://data.austintexas.gov/api/views/tv4x-8thz/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,tv4x-8thz,,,,,,1510,4952
,,,,,,,https://data.austintexas.gov/d/7neq-k7nf,135,175,1353,4521,,https://data.austintexas.gov/api/views/7neq-k7nf/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,7neq-k7nf,,,,,,1482,4776
,,,,,,1,https://data.austintexas.gov/d/hek3-kuva,165,294,29,3006,,https://data.austintexas.gov/api/views/hek3-kuva/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,hek3-kuva,,,,,,237,3877
,,,,,,,https://data.austintexas.gov/d/wrwk-skv6,219,641,40,105,,https://data.austintexas.gov/api/views/wrwk-skv6/metrics.json?start=1451606400000&end=1475539199999,,6,,1,,,,,wrwk-skv6,,,,,,678,3981
,,,,,1,1,https://data.austintexas.gov/d/4hh5-fx4w,142,142,2913,2917,,https://data.austintexas.gov/api/views/4hh5-fx4w/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,4hh5-fx4w,,,,,,3151,3155
,,,,,,,https://data.austintexas.gov/d/87qq-mkwq,181,183,1380,1501,,https://data.austintexas.gov/api/views/87qq-mkwq/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,87qq-mkwq,,,,,,1762,1911
1,2,452,2934,,,3,https://data.austintexas.gov/d/4c6h-tv2y,319,1939,,13,,https://data.austintexas.gov/api/views/4c6h-tv2y/metrics.json?start=1451606400000&end=1475539199999,,8,2712,8290,,,,,4c6h-tv2y,,3,1808,10752,,403,2636
,,,,,,1,https://data.austintexas.gov/d/kz4x-q9k5,349,1009,9,17,,https://data.austintexas.gov/api/views/kz4x-q9k5/metrics.json?start=1451606400000&end=1475539199999,,6,,6,,,,,kz4x-q9k5,17,41,2,32,,550,2652
